Id,Weekly_Sales
1_2_2013-04-26,45549.1928601746
1_2_2013-05-03,45586.84618163908
1_2_2013-05-10,45943.81734616888
1_2_2013-05-17,46942.851068469936
1_2_2013-05-24,46085.138698056835
1_2_2013-05-31,45716.86847634146
1_2_2013-06-07,45914.126846709856
1_2_2013-06-14,47211.251119253204
1_2_2013-06-21,46341.489580766465
1_2_2013-06-28,45785.54736404301
1_2_2013-07-05,46841.71138441736
1_2_2013-07-12,45319.881170997854
1_2_2013-07-19,45284.77543880541
1_2_2013-07-26,45247.6151021748
1_3_2012-11-02,14233.884776708894
1_3_2012-11-09,14248.384853340543
1_3_2012-11-16,14299.06628652507
1_3_2012-11-23,16114.546159793472
1_3_2012-11-30,12342.930724560789
1_3_2012-12-07,14674.915308516423
1_3_2012-12-14,12251.201849944988
1_3_2012-12-21,12758.798349409273
1_3_2012-12-28,16338.437205751276
1_3_2013-01-04,16782.545524968686
1_3_2013-01-11,16162.988037052022
1_3_2013-01-18,13970.237835015987
1_3_2013-01-25,13335.740301146938
1_3_2013-02-01,17079.130068232873
1_3_2013-02-08,17532.63379862422
1_3_2013-02-15,17304.561430853035
1_3_2013-02-22,17548.93228400779
1_3_2013-03-01,13703.800729776307
1_3_2013-03-08,13479.021904835829
1_3_2013-03-15,12709.083886011105
1_3_2013-03-22,15047.388208153974
1_3_2013-03-29,14971.205411338498
1_3_2013-04-05,14839.448269549182
1_3_2013-04-12,12402.227276104002
1_3_2013-04-19,12307.584855002815
1_3_2013-04-26,12413.579444605984
1_3_2013-05-03,11831.638030348213
1_3_2013-05-10,12498.260572747226
1_3_2013-05-17,13442.479300228302
1_3_2013-05-24,12398.59969413792
1_3_2013-05-31,11519.965649923435
1_3_2013-06-07,11210.14927399277
1_3_2013-06-14,12809.477643066843
1_3_2013-06-21,13127.4038263109
1_3_2013-06-28,11822.29791464422
1_3_2013-07-05,13778.52841328013
1_3_2013-07-12,14532.831207941446
1_3_2013-07-19,16927.564747706245
1_3_2013-07-26,18113.779493189042
1_4_2012-11-02,37431.3752240452
1_4_2012-11-09,37729.22627509947
1_4_2012-11-16,37542.493127824964
1_4_2012-11-23,41191.316199277666
1_4_2012-11-30,39610.42104691385
1_4_2012-12-07,39352.19039411127
1_4_2012-12-14,38813.10681281432
1_4_2012-12-21,41089.420050135726
1_4_2012-12-28,40299.19298062682
1_4_2013-01-04,38726.53917173052
1_4_2013-01-11,38209.35949065907
1_4_2013-01-18,37191.308362943964
1_4_2013-01-25,36295.820610563045
1_4_2013-02-01,38481.813433337666
1_4_2013-02-08,39030.03044939078
1_4_2013-02-15,38750.24273208766
1_4_2013-02-22,38258.649916670984
1_4_2013-03-01,36894.61786256385
1_4_2013-03-08,36857.95611631387
1_4_2013-03-15,36628.745495984185
1_4_2013-03-22,37716.77872730277
1_4_2013-03-29,37192.58115607575
1_4_2013-04-05,37900.11408926476
1_4_2013-04-12,36647.84119271036
1_4_2013-04-19,37127.12097338407
1_4_2013-04-26,36356.32330514907
1_4_2013-05-03,36249.534242797614
1_4_2013-05-10,36989.886873979514
1_4_2013-05-17,38337.615390244864
1_4_2013-05-24,37902.29863488003
1_4_2013-05-31,37818.17419507276
1_4_2013-06-07,38346.319065291274
1_4_2013-06-14,39266.970692642855
1_4_2013-06-21,38522.79191482763
1_4_2013-06-28,38550.25932455978
1_4_2013-07-05,39182.231911764924
1_4_2013-07-12,38057.10054391455
1_4_2013-07-19,37701.190969253985
1_4_2013-07-26,37032.57840783865
1_5_2012-11-02,26788.574376081062
1_5_2012-11-09,27396.058229712016
1_5_2012-11-16,27168.71322175638
1_5_2012-11-23,50624.737992834554
1_5_2012-11-30,44514.0309974631
1_5_2012-12-07,42705.20609928297
1_5_2012-12-14,41006.86206459066
1_5_2012-12-21,46565.664471574666
1_5_2012-12-28,42666.75596573024
1_5_2013-01-04,26018.22438432295
1_5_2013-01-11,24122.800353072947
1_5_2013-01-18,23036.32876764637
1_5_2013-01-25,22802.939033220726
1_5_2013-02-01,31424.342971077822
1_5_2013-02-08,36922.54294346771
1_5_2013-02-15,35510.85399559794
1_5_2013-02-22,31182.4315392228
1_5_2013-03-01,26760.42443687006
1_5_2013-03-08,26192.636945831106
1_5_2013-03-15,25304.13832885676
1_5_2013-03-22,25453.050146354046
1_5_2013-03-29,25614.701935682282
1_5_2013-04-05,25534.098174393774
1_5_2013-04-12,22346.394380361387
1_5_2013-04-19,20945.262839736937
1_5_2013-04-26,22852.81485314908
1_5_2013-05-03,19800.60868591048
1_5_2013-05-10,21546.56282480258
1_5_2013-05-17,20834.249165968475
1_5_2013-05-24,20082.456244137396
1_5_2013-05-31,19396.592712645073
1_5_2013-06-07,20693.000757833997
1_5_2013-06-14,21302.87599804234
1_5_2013-06-21,21432.231757318146
1_5_2013-06-28,20547.633693776475
1_5_2013-07-05,20043.626415149727
1_5_2013-07-12,19329.570405450057
1_5_2013-07-19,19559.56872176949
1_5_2013-07-26,19114.639988877178
1_6_2012-11-02,3985.169176427698
1_6_2012-11-09,3870.0779160110333
1_6_2012-11-16,4189.186790816946
1_6_2012-11-23,10552.788870549719
1_6_2012-11-30,8296.422728780504
1_6_2012-12-07,8412.556673456455
1_6_2012-12-14,8611.557200204557
1_6_2012-12-21,11306.187385519956
1_6_2012-12-28,10124.584589219716
1_6_2013-01-04,3411.6242961375856
1_6_2013-01-11,3097.276095086002
1_6_2013-01-18,3146.875829472724
1_6_2013-01-25,2915.8789878651655
1_6_2013-02-01,3561.530297814448
1_6_2013-02-08,5786.7901878983985
1_6_2013-02-15,5027.0470375224595
1_6_2013-02-22,4148.104174957941
1_6_2013-03-01,3827.999370184309
1_6_2013-03-08,3710.060717684307
1_6_2013-03-15,3631.4751830834216
1_6_2013-03-22,3593.1546358339338
1_6_2013-03-29,3796.53495666068
1_6_2013-04-05,3428.338623512505
1_6_2013-04-12,3531.349942883965
1_6_2013-04-19,3498.8156069315846
1_6_2013-04-26,3533.8605706815847
1_6_2013-05-03,4244.842818552443
1_6_2013-05-10,4189.823273147224
1_6_2013-05-17,4158.181212096748
1_6_2013-05-24,4125.12104788499
1_6_2013-05-31,4180.791732730834
1_6_2013-06-07,3576.9532188331355
1_6_2013-06-14,3554.7106552400596
1_6_2013-06-21,3575.228355974189
1_6_2013-06-28,3382.560243626878
1_6_2013-07-05,3294.865315905571
1_6_2013-07-12,3282.000550995903
1_6_2013-07-19,3360.6586756901656
1_6_2013-07-26,3389.3121711359436
1_7_2012-11-02,21877.671391672273
1_7_2012-11-09,22146.15598000561
1_7_2012-11-16,23232.98320064664
1_7_2012-11-23,43298.980289464256
1_7_2012-11-30,46155.28672043649
1_7_2012-12-07,52745.321926987664
1_7_2012-12-14,59510.75912987637
1_7_2012-12-21,71401.9474033855
1_7_2012-12-28,55727.232469595925
1_7_2013-01-04,17160.560480000404
1_7_2013-01-11,16558.14935435695
1_7_2013-01-18,17026.634464543644
1_7_2013-01-25,16478.07483828283
1_7_2013-02-01,18425.497188845588
1_7_2013-02-08,22794.62381263164
1_7_2013-02-15,22151.158858232302
1_7_2013-02-22,19040.749768946604
1_7_2013-03-01,19691.593636444068
1_7_2013-03-08,20849.2292948748
1_7_2013-03-15,19777.88843025628
1_7_2013-03-22,19974.805296725277
1_7_2013-03-29,20192.18616002361
1_7_2013-04-05,21038.956322094247
1_7_2013-04-12,20939.744252185956
1_7_2013-04-19,20982.30897572761
1_7_2013-04-26,20715.662537172426
1_7_2013-05-03,21325.474170525522
1_7_2013-05-10,21511.389241983852
1_7_2013-05-17,21545.471945592522
1_7_2013-05-24,24640.390284712008
1_7_2013-05-31,25350.451349642564
1_7_2013-06-07,27589.271692489805
1_7_2013-06-14,26287.336268336865
1_7_2013-06-21,25997.862296646756
1_7_2013-06-28,25632.835694307007
1_7_2013-07-05,22758.63913386724
1_7_2013-07-12,20429.16039776614
1_7_2013-07-19,19757.631250802664
1_7_2013-07-26,19611.92564302588
1_8_2012-11-02,38266.07772251179
1_8_2012-11-09,38294.71923330543
1_8_2012-11-16,38006.582302511764
1_8_2012-11-23,38531.48719218441
1_8_2012-11-30,37970.007680745905
1_8_2012-12-07,38753.78129761062
1_8_2012-12-14,38391.00201203025
1_8_2012-12-21,38633.67756961001
1_8_2012-12-28,38422.671080830216
1_8_2013-01-04,38341.23826184576
1_8_2013-01-11,38230.130651429106
1_8_2013-01-18,37542.33906057824
1_8_2013-01-25,37383.869497532636
1_8_2013-02-01,38729.77191434577
1_8_2013-02-08,39092.50552721282
1_8_2013-02-15,39087.900840367576
1_8_2013-02-22,39168.69398827162
1_8_2013-03-01,37823.55797698429
1_8_2013-03-08,37662.01484898824
1_8_2013-03-15,37645.72191687515
1_8_2013-03-22,38552.70563472996
1_8_2013-03-29,38072.630884285856
1_8_2013-04-05,39097.3930017637
1_8_2013-04-12,38277.482457939375
1_8_2013-04-19,38541.57376569235
1_8_2013-04-26,38354.795776600105
1_8_2013-05-03,37293.15864286649
1_8_2013-05-10,37249.17133731634
1_8_2013-05-17,37981.94978684277
1_8_2013-05-24,37540.139416587175
1_8_2013-05-31,37655.02929244485
1_8_2013-06-07,37679.1423975098
1_8_2013-06-14,37985.302489640395
1_8_2013-06-21,37473.51982256933
1_8_2013-06-28,37374.73132845593
1_8_2013-07-05,37825.533105513394
1_8_2013-07-12,37140.38627856139
1_8_2013-07-19,37188.6568389483
1_8_2013-07-26,36899.389684686495
1_9_2012-11-02,38991.59259924784
1_9_2012-11-09,36931.757288187844
1_9_2012-11-16,35900.41932295093
1_9_2012-11-23,37787.20961544975
1_9_2012-11-30,35661.52143844334
1_9_2012-12-07,34580.64358891877
1_9_2012-12-14,33423.85020865167
1_9_2012-12-21,36698.14930835061
1_9_2012-12-28,32820.67899534809
1_9_2013-01-04,23920.30834020779
1_9_2013-01-11,24760.212274208534
1_9_2013-01-18,22353.54902820323
1_9_2013-01-25,23243.19871574566
1_9_2013-02-01,25732.6434944082
1_9_2013-02-08,26225.473670420102
1_9_2013-02-15,26307.884303260915
1_9_2013-02-22,27920.035165520017
1_9_2013-03-01,30998.118343689828
1_9_2013-03-08,32598.401033329483
1_9_2013-03-15,33621.322148819316
1_9_2013-03-22,34147.57562485115
1_9_2013-03-29,33140.77345279758
1_9_2013-04-05,32937.18665417842
1_9_2013-04-12,31523.779548371043
1_9_2013-04-19,31012.606541580906
1_9_2013-04-26,30599.763929486886
1_9_2013-05-03,29184.52757502651
1_9_2013-05-10,29884.335466105724
1_9_2013-05-17,30125.42122239356
1_9_2013-05-24,30030.120222742604
1_9_2013-05-31,30251.10725379714
1_9_2013-06-07,30812.56758520975
1_9_2013-06-14,30288.673984763926
1_9_2013-06-21,29804.32862884402
1_9_2013-06-28,28924.091967890035
1_9_2013-07-05,29249.64662467605
1_9_2013-07-12,27091.830456599444
1_9_2013-07-19,27704.87056983291
1_9_2013-07-26,27204.079009396155
1_10_2012-11-02,29600.371726714337
1_10_2012-11-09,30144.582677351973
1_10_2012-11-16,29052.411396873085
1_10_2012-11-23,30196.69531863507
1_10_2012-11-30,28997.273071864507
1_10_2012-12-07,29918.693626476248
1_10_2012-12-14,28888.666968977588
1_10_2012-12-21,29008.808357930524
1_10_2012-12-28,29936.046225193477
1_10_2013-01-04,30696.402903178438
1_10_2013-01-11,30042.748514967767
1_10_2013-01-18,27294.460538846157
1_10_2013-01-25,27106.08450573108
1_10_2013-02-01,33924.36332450147
1_10_2013-02-08,34409.88245064864
1_10_2013-02-15,34852.60588925343
1_10_2013-02-22,34993.82774258679
1_10_2013-03-01,33612.82242955359
1_10_2013-03-08,33086.94304705359
1_10_2013-03-15,32961.4085744147
1_10_2013-03-22,35094.42724609096
1_10_2013-03-29,33969.285419835214
1_10_2013-04-05,33672.7217090451
1_10_2013-04-12,30404.868830210446
1_10_2013-04-19,30321.535951333623
1_10_2013-04-26,30139.91892544311
1_10_2013-05-03,30578.00964667871
1_10_2013-05-10,31659.057915691403
1_10_2013-05-17,33004.722199908196
1_10_2013-05-24,31599.51048353707
1_10_2013-05-31,31208.848981781117
1_10_2013-06-07,32098.702984608597
1_10_2013-06-14,33192.28820286455
1_10_2013-06-21,31803.119311763636
1_10_2013-06-28,31669.11109372411
1_10_2013-07-05,33071.05455518595
1_10_2013-07-12,30519.53821857674
1_10_2013-07-19,30354.411905147255
1_10_2013-07-26,30050.35746294938
1_11_2012-11-02,23545.262731380542
1_11_2012-11-09,23248.116405279696
1_11_2012-11-16,23514.82794571581
1_11_2012-11-23,25373.15589131217
1_11_2012-11-30,26245.35054916955
1_11_2012-12-07,28083.692918551118
1_11_2012-12-14,27154.94494866107
1_11_2012-12-21,27078.052164545803
1_11_2012-12-28,25939.310467801955
1_11_2013-01-04,25302.65319908102
1_11_2013-01-11,24584.892120033397
1_11_2013-01-18,22980.95286089172
1_11_2013-01-25,21442.92721897571
1_11_2013-02-01,23984.073874329933
1_11_2013-02-08,23967.60571373559
1_11_2013-02-15,24125.60724653774
1_11_2013-02-22,23906.08522481155
1_11_2013-03-01,23120.957131218453
1_11_2013-03-08,22758.384555588116
1_11_2013-03-15,22637.40447176734
1_11_2013-03-22,24095.47582393055
1_11_2013-03-29,23492.55768693922
1_11_2013-04-05,23699.58094742415
1_11_2013-04-12,22248.231969880067
1_11_2013-04-19,22206.01030522277
1_11_2013-04-26,21984.684498565126
1_11_2013-05-03,23323.45492632489
1_11_2013-05-10,24787.46244932148
1_11_2013-05-17,25763.61809721008
1_11_2013-05-24,26065.999101116187
1_11_2013-05-31,26577.082988145732
1_11_2013-06-07,30024.521278826847
1_11_2013-06-14,30352.05438449423
1_11_2013-06-21,31621.844569595185
1_11_2013-06-28,34109.05421278532
1_11_2013-07-05,28655.679725110076
1_11_2013-07-12,29775.09268370829
1_11_2013-07-19,27280.84646004533
1_11_2013-07-26,28965.570199100523
1_12_2012-11-02,9663.306824338031
1_12_2012-11-09,9836.179617460324
1_12_2012-11-16,9318.897294924476
1_12_2012-11-23,8928.115272757928
1_12_2012-11-30,8810.4866481586
1_12_2012-12-07,8885.572965219155
1_12_2012-12-14,8267.477476334101
1_12_2012-12-21,8730.996357937402
1_12_2012-12-28,8347.149962584095
1_12_2013-01-04,8635.739874954721
1_12_2013-01-11,8782.301051125356
1_12_2013-01-18,8680.619603407105
1_12_2013-01-25,9138.880432345599
1_12_2013-02-01,9695.170158097531
1_12_2013-02-08,9716.101835776104
1_12_2013-02-15,9482.688802109757
1_12_2013-02-22,9969.11064184412
1_12_2013-03-01,10414.642652546576
1_12_2013-03-08,10729.074517308478
1_12_2013-03-15,11365.684315550485
1_12_2013-03-22,11383.994857721305
1_12_2013-03-29,10599.893484401728
1_12_2013-04-05,10860.981886780304
1_12_2013-04-12,11001.731617329542
1_12_2013-04-19,10989.763828862284
1_12_2013-04-26,10946.918375528947
1_12_2013-05-03,11356.966755514883
1_12_2013-05-10,11028.693108841446
1_12_2013-05-17,11104.559041069011
1_12_2013-05-24,11092.784342537268
1_12_2013-05-31,11460.028266321986
1_12_2013-06-07,11134.01310598915
1_12_2013-06-14,10901.000178270891
1_12_2013-06-21,10697.135485493114
1_12_2013-06-28,10766.586462020898
1_12_2013-07-05,11219.22907350278
1_12_2013-07-12,10878.96927872104
1_12_2013-07-19,11010.9563040385
1_12_2013-07-26,11139.862514423607
1_13_2012-11-02,39920.555325456095
1_13_2012-11-09,40028.17598845487
1_13_2012-11-16,39625.34327947394
1_13_2012-11-23,41092.984152383695
1_13_2012-11-30,39167.16919203345
1_13_2012-12-07,38858.15125129467
1_13_2012-12-14,37454.3104065287
1_13_2012-12-21,38058.520083750016
1_13_2012-12-28,39122.243558760834
1_13_2013-01-04,40774.93420364635
1_13_2013-01-11,40636.23060906301
1_13_2013-01-18,39076.807357778285
1_13_2013-01-25,38802.17530402827
1_13_2013-02-01,41236.75799739633
1_13_2013-02-08,42218.21339694498
1_13_2013-02-15,41868.24395569497
1_13_2013-02-22,41865.728185159256
1_13_2013-03-01,39712.57018283512
1_13_2013-03-08,39280.37334459107
1_13_2013-03-15,39139.69373700177
1_13_2013-03-22,40586.17734328427
1_13_2013-03-29,39954.244361882724
1_13_2013-04-05,41083.60145763715
1_13_2013-04-12,39290.13287271606
1_13_2013-04-19,39224.57124995089
1_13_2013-04-26,39111.96588922172
1_13_2013-05-03,38463.0672156503
1_13_2013-05-10,38879.88404627532
1_13_2013-05-17,40244.75949012724
1_13_2013-05-24,39506.795063100726
1_13_2013-05-31,39108.10349664913
1_13_2013-06-07,39665.006628376286
1_13_2013-06-14,40563.67671890609
1_13_2013-06-21,40069.80790846002
1_13_2013-06-28,40039.193364110855
1_13_2013-07-05,40278.02675512633
1_13_2013-07-12,39483.53813047719
1_13_2013-07-19,39467.801165849196
1_13_2013-07-26,39088.53224833698
1_14_2012-11-02,14071.165586012754
1_14_2012-11-09,14742.757439584186
1_14_2012-11-16,15795.544854581065
1_14_2012-11-23,27790.884741896036
1_14_2012-11-30,24551.825280681205
1_14_2012-12-07,24381.7204903376
1_14_2012-12-14,25904.58822141441
1_14_2012-12-21,29379.729605729906
1_14_2012-12-28,28235.325018998305
1_14_2013-01-04,16269.66802905139
1_14_2013-01-11,15763.292724854962
1_14_2013-01-18,15135.354444427689
1_14_2013-01-25,14510.79854249549
1_14_2013-02-01,16344.86099718587
1_14_2013-02-08,19265.299425832847
1_14_2013-02-15,19130.431193094744
1_14_2013-02-22,17251.438050773315
1_14_2013-03-01,16069.543410439584
1_14_2013-03-08,15351.611525719696
1_14_2013-03-15,13992.117278891383
1_14_2013-03-22,14205.450809751223
1_14_2013-03-29,14846.98157409647
1_14_2013-04-05,14862.561247951784
1_14_2013-04-12,13570.636812619883
1_14_2013-04-19,13632.485909259072
1_14_2013-04-26,13909.479871211151
1_14_2013-05-03,14255.616846365661
1_14_2013-05-10,14920.937656443908
1_14_2013-05-17,15253.719225288602
1_14_2013-05-24,14461.529397735712
1_14_2013-05-31,13964.37558216031
1_14_2013-06-07,14036.137744045243
1_14_2013-06-14,14756.361553325556
1_14_2013-06-21,14208.635184575538
1_14_2013-06-28,14532.187191725716
1_14_2013-07-05,15026.498733168733
1_14_2013-07-12,14180.212631047718
1_14_2013-07-19,13296.19664223873
1_14_2013-07-26,12796.112525393488
1_16_2012-11-02,9851.48385531634
1_16_2012-11-09,10121.22377717781
1_16_2012-11-16,9595.030252965149
1_16_2012-11-23,10232.55709196698
1_16_2012-11-30,9579.08200891753
1_16_2012-12-07,10074.616268130188
1_16_2012-12-14,8708.224064583115
1_16_2012-12-21,9334.064898333116
1_16_2012-12-28,9265.039204596855
1_16_2013-01-04,12559.733016366636
1_16_2013-01-11,12645.361204699968
1_16_2013-01-18,12030.074585860677
1_16_2013-01-25,12740.460444110684
1_16_2013-02-01,15418.12593454101
1_16_2013-02-08,16606.21955938301
1_16_2013-02-15,16623.18021819184
1_16_2013-02-22,18874.82602998213
1_16_2013-03-01,26657.85618536587
1_16_2013-03-08,26913.316805555252
1_16_2013-03-15,30800.782854663095
1_16_2013-03-22,36843.34220823985
1_16_2013-03-29,29829.541643159428
1_16_2013-04-05,39513.57885612146
1_16_2013-04-12,40618.1533049928
1_16_2013-04-19,40125.56977633209
1_16_2013-04-26,37630.54383561781
1_16_2013-05-03,35848.854272003366
1_16_2013-05-10,34591.365254452045
1_16_2013-05-17,35650.465239225814
1_16_2013-05-24,36525.3389095478
1_16_2013-05-31,37000.151103883945
1_16_2013-06-07,35783.33405982105
1_16_2013-06-14,33885.364850261234
1_16_2013-06-21,33856.53908421958
1_16_2013-06-28,33443.75584797952
1_16_2013-07-05,33175.11727306395
1_16_2013-07-12,26684.41570420099
1_16_2013-07-19,24035.614476215742
1_16_2013-07-26,22781.791491619857
1_17_2012-11-02,8517.23612613573
1_17_2012-11-09,8493.263688844065
1_17_2012-11-16,9071.879271879776
1_17_2012-11-23,10698.119273078373
1_17_2012-11-30,10480.689824707162
1_17_2012-12-07,10719.195567530136
1_17_2012-12-14,11469.426810557645
1_17_2012-12-21,13334.94055495338
1_17_2012-12-28,12577.505006004067
1_17_2013-01-04,9119.034459674962
1_17_2013-01-11,8853.038429546892
1_17_2013-01-18,8749.81933708387
1_17_2013-01-25,8428.433229861654
1_17_2013-02-01,9344.84971466269
1_17_2013-02-08,9895.760720514956
1_17_2013-02-15,10019.102197538765
1_17_2013-02-22,10013.45669920543
1_17_2013-03-01,9851.8900511967
1_17_2013-03-08,9626.27692489439
1_17_2013-03-15,9274.30867451741
1_17_2013-03-22,9120.717337793922
1_17_2013-03-29,9392.413300948687
1_17_2013-04-05,8924.244851576648
1_17_2013-04-12,8491.386819273257
1_17_2013-04-19,8078.040471008866
1_17_2013-04-26,8509.323312011358
1_17_2013-05-03,8180.934954868369
1_17_2013-05-10,8567.890480824255
1_17_2013-05-17,8522.211357733928
1_17_2013-05-24,8256.820301926846
1_17_2013-05-31,7772.845205058673
1_17_2013-06-07,7620.434438342798
1_17_2013-06-14,8032.743897164944
1_17_2013-06-21,7986.725344390547
1_17_2013-06-28,7877.117957765091
1_17_2013-07-05,8103.437273461232
1_17_2013-07-12,7876.457464877824
1_17_2013-07-19,7682.525906601595
1_17_2013-07-26,7958.428008395036
1_18_2012-11-02,12923.797228331447
1_18_2012-11-09,12380.332883331448
1_18_2012-11-16,13573.572962260025
1_18_2012-11-23,21628.421082241322
1_18_2012-11-30,23694.430218669855
1_18_2012-12-07,27289.35893420694
1_18_2012-12-14,28016.07468158788
1_18_2012-12-21,23075.134914623624
1_18_2012-12-28,23197.334494980805
1_18_2013-01-04,10793.103976643968
1_18_2013-01-11,8556.276211946004
1_18_2013-01-18,7428.594951121432
1_18_2013-01-25,6491.912331954764
1_18_2013-02-01,10738.986905876262
1_18_2013-02-08,11187.425707094222
1_18_2013-02-15,12746.913547153754
1_18_2013-02-22,10348.95329053093
1_18_2013-03-01,6853.262657033425
1_18_2013-03-08,6497.841018700091
1_18_2013-03-15,5449.15470411675
1_18_2013-03-22,5744.9777227160685
1_18_2013-03-29,6906.002215983001
1_18_2013-04-05,6979.192008711892
1_18_2013-04-12,6140.391011246971
1_18_2013-04-19,5929.764019580303
1_18_2013-04-26,6244.210971782686
1_18_2013-05-03,3934.2757121277573
1_18_2013-05-10,3890.7254081396622
1_18_2013-05-17,4808.405211078119
1_18_2013-05-24,2715.5387500924408
1_18_2013-06-07,2801.993546916669
1_18_2013-07-05,3564.111480404939
1_19_2012-11-02,1221.4356173683263
1_19_2012-11-09,1112.4048361904768
1_19_2012-11-16,1230.149799451659
1_19_2012-11-23,1094.7216735119046
1_19_2012-11-30,1295.3434682539669
1_19_2012-12-07,1370.6235251785722
1_19_2012-12-14,1450.862358387516
1_19_2012-12-21,1451.6409223932974
1_19_2012-12-28,1231.5426562148957
1_19_2013-01-04,991.4835693551582
1_19_2013-01-11,948.8352068755553
1_19_2013-01-18,1065.7184457112328
1_19_2013-01-25,1029.7844411910307
1_19_2013-02-01,1058.2915767330594
1_19_2013-02-08,1056.820362946429
1_19_2013-02-15,1048.3535546130959
1_19_2013-02-22,1035.1103514583335
1_19_2013-03-01,1237.8631150303156
1_19_2013-03-08,1279.4447021136498
1_19_2013-03-15,1304.8650610025397
1_19_2013-03-22,1195.5539585097545
1_19_2013-03-29,1241.2160458907058
1_19_2013-04-05,1114.004684821984
1_19_2013-04-12,1265.4895910945297
1_19_2013-04-19,1274.7793677611965
1_19_2013-04-26,1253.625089427863
1_19_2013-05-03,1231.0441047742527
1_19_2013-05-10,1272.937049319707
1_19_2013-05-17,1171.8354025908127
1_19_2013-05-24,1250.076424722847
1_19_2013-05-31,1244.6652697111224
1_19_2013-06-07,1158.9107956485186
1_19_2013-06-14,1055.376202246643
1_19_2013-06-21,1116.391431772256
1_19_2013-06-28,1091.761680868894
1_19_2013-07-05,1047.6230061820822
1_19_2013-07-12,1073.71275958608
1_19_2013-07-19,1097.6938597129258
1_19_2013-07-26,1131.931782352716
1_20_2012-11-02,3512.0464952877583
1_20_2012-11-09,3515.01110983141
1_20_2012-11-16,3546.5908290377574
1_20_2012-11-23,4247.15510041667
1_20_2012-11-30,3725.4348369864774
1_20_2012-12-07,3608.306615644903
1_20_2012-12-14,3574.5452326655904
1_20_2012-12-21,3834.6662182959994
1_20_2012-12-28,4235.528297708335
1_20_2013-01-04,4258.424959335686
1_20_2013-01-11,4312.6824791681665
1_20_2013-01-18,4168.627100696429
1_20_2013-01-25,3953.091234039687
1_20_2013-02-01,4501.41689546435
1_20_2013-02-08,4778.497096528147
1_20_2013-02-15,4761.573960444506
1_20_2013-02-22,4780.045722802462
1_20_2013-03-01,4868.058538607857
1_20_2013-03-08,4722.91268988762
1_20_2013-03-15,4566.561079222935
1_20_2013-03-22,4762.35095125767
1_20_2013-03-29,4840.522741287432
1_20_2013-04-05,4192.137662519621
1_20_2013-04-12,4036.817154013887
1_20_2013-04-19,3999.3243581805523
1_20_2013-04-26,3919.9320521627733
1_20_2013-05-03,4135.284477488274
1_20_2013-05-10,4418.988961846359
1_20_2013-05-17,4430.077910862833
1_20_2013-05-24,4520.377065657443
1_20_2013-05-31,4437.863183571814
1_20_2013-06-07,4339.212427813987
1_20_2013-06-14,4644.547136521249
1_20_2013-06-21,4651.583991708879
1_20_2013-06-28,4539.632937059152
1_20_2013-07-05,4642.138450746396
1_20_2013-07-12,4336.043992706726
1_20_2013-07-19,4266.679870450124
